,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Daydreamer,19,Adele,2008-01-28,220506,57,0.807,0.964,0.105,0.0,0.103,-13.188,0.0412,109.014,4,0.372
1,Best For Last,19,Adele,2008-01-28,258506,46,0.561,0.683,0.316,0.0,0.108,-10.922,0.326,87.273,4,0.617
2,Chasing Pavements,19,Adele,2008-01-28,210506,70,0.616,0.291,0.47,0.0,0.111,-6.092,0.0253,80.03,4,0.325
3,Cold Shoulder,19,Adele,2008-01-28,191866,54,0.65,0.00217,0.82,0.0,0.133,-5.344,0.047,109.955,4,0.35
4,Crazy For You,19,Adele,2008-01-28,208040,56,0.707,0.91,0.139,0.0,0.105,-12.3,0.0507,85.868,3,0.323
5,Melt My Heart To Stone,19,Adele,2008-01-28,203906,55,0.353,0.346,0.388,0.0,0.215,-7.091,0.0366,80.67,4,0.19
6,First Love,19,Adele,2008-01-28,190280,49,0.683,0.985,0.112,0.00552,0.09,-13.461,0.0338,81.355,4,0.337
7,Right As Rain,19,Adele,2008-01-28,197346,51,0.842,0.773,0.679,0.0,0.0891,-5.876,0.0846,137.2,4,0.918
8,Make You Feel My Love,19,Adele,2008-01-28,212040,73,0.317,0.907,0.172,0.000383,0.105,-10.636,0.0326,65.18,3,0.0963
9,My Same,19,Adele,2008-01-28,195653,46,0.776,0.482,0.592,0.0,0.15,-7.459,0.153,126.563,4,0.724
10,Tired,19,Adele,2008-01-28,258853,46,0.801,0.181,0.663,0.000535,0.0945,-6.29,0.0485,96.991,4,0.552
11,Hometown Glory,19,Adele,2008-01-28,271226,58,0.436,0.962,0.336,3.4e-05,0.102,-8.517,0.037,122.456,4,0.21
12,Rolling in the Deep,21,Adele,2011-01-24,228093,79,0.73,0.138,0.769,0.0,0.0473,-5.114,0.0298,104.948,4,0.507
13,Rumour Has It,21,Adele,2011-01-24,223266,67,0.612,0.615,0.749,0.0,0.167,-5.014,0.0446,120.052,4,0.574
14,Turning Tables,21,Adele,2011-01-24,250000,65,0.353,0.95,0.446,1.35e-05,0.132,-6.044,0.0285,155.476,4,0.211
15,Don't You Remember,21,Adele,2011-01-24,243200,65,0.644,0.214,0.4,0.0,0.0866,-5.713,0.0304,115.025,4,0.227
16,Set Fire to the Rain,21,Adele,2011-01-24,242973,77,0.603,0.00408,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,4,0.446
17,He Won't Go,21,Adele,2011-01-24,278040,55,0.706,0.0225,0.57,0.0,0.0754,-7.045,0.086,159.908,4,0.728
18,Take It All,21,Adele,2011-01-24,228293,55,0.415,0.957,0.266,1.18e-06,0.183,-8.44,0.0308,138.096,4,0.282
19,I'll Be Waiting,21,Adele,2011-01-24,241351,52,0.547,0.049,0.848,0.0,0.114,-2.684,0.0367,160.063,4,0.749
20,One And Only,21,Adele,2011-01-24,348226,66,0.528,0.295,0.468,0.0,0.165,-5.306,0.0287,154.974,3,0.185
21,Lovesong,21,Adele,2011-01-24,316240,57,0.689,0.693,0.369,0.00236,0.111,-9.407,0.0278,116.885,4,0.361
22,Someone Like You,21,Adele,2011-01-24,285240,79,0.556,0.893,0.319,0.0,0.0996,-8.251,0.0281,135.187,4,0.294
23,Hello,25,Adele,2015-11-20,295502,73,0.578,0.33,0.43,0.0,0.0854,-6.134,0.0305,78.991,4,0.288
24,Send My Love (To Your New Lover),25,Adele,2015-11-20,223078,73,0.688,0.0355,0.533,3.48e-06,0.172,-8.363,0.0865,164.069,4,0.567
25,I Miss You,25,Adele,2015-11-20,348625,59,0.382,0.00982,0.578,1.44e-05,0.433,-4.246,0.047,113.072,4,0.156
26,When We Were Young,25,Adele,2015-11-20,290900,75,0.376,0.303,0.595,0.0,0.095,-5.936,0.0496,144.361,4,0.265
27,Remedy,25,Adele,2015-11-20,245426,62,0.405,0.894,0.3,0.0,0.154,-6.475,0.0378,162.355,3,0.24
28,Water Under the Bridge,25,Adele,2015-11-20,240439,68,0.59,0.0142,0.833,5.4e-06,0.105,-6.503,0.0615,94.963,4,0.538
29,River Lea,25,Adele,2015-11-20,225426,57,0.384,0.0591,0.585,1.77e-06,0.116,-5.588,0.0311,82.378,4,0.252
30,Love In The Dark,25,Adele,2015-11-20,285935,74,0.331,0.528,0.341,0.0,0.109,-6.057,0.0309,109.821,4,0.152
31,Million Years Ago,25,Adele,2015-11-20,227065,63,0.72,0.742,0.274,0.0,0.11,-7.623,0.0276,105.929,4,0.179
32,All I Ask,25,Adele,2015-11-20,271800,71,0.591,0.889,0.28,0.0,0.124,-5.494,0.0283,141.916,4,0.348
33,Sweetest Devotion,25,Adele,2015-11-20,251701,55,0.416,0.251,0.752,0.0,0.125,-5.471,0.0396,155.89,3,0.266
34,Strangers By Nature,30,Adele,2021-11-19,182163,67,0.387,0.798,0.253,0.000159,0.0848,-8.901,0.0336,68.004,5,0.134
35,Easy On Me,30,Adele,2021-11-19,224694,84,0.604,0.578,0.366,0.0,0.133,-7.519,0.0282,141.981,4,0.13
36,My Little Love,30,Adele,2021-11-19,389107,71,0.339,0.829,0.492,0.00377,0.147,-10.661,0.0559,151.865,4,0.102
37,Cry Your Heart Out,30,Adele,2021-11-19,255278,67,0.756,0.523,0.713,3.35e-06,0.248,-6.917,0.102,125.064,4,0.59
38,Oh My God,30,Adele,2021-11-19,225148,85,0.534,0.091,0.725,0.0,0.0264,-3.906,0.046,88.098,4,0.55
39,Can I Get It,30,Adele,2021-11-19,210384,76,0.703,0.0171,0.68,0.0,0.178,-6.118,0.0431,97.985,4,0.536
40,I Drink Wine,30,Adele,2021-11-19,376169,75,0.437,0.697,0.565,0.0,0.119,-5.596,0.0466,115.389,4,0.306
41,All Night Parking (with Erroll Garner) Interlude,30,Adele,2021-11-19,161829,69,0.734,0.67,0.497,2.35e-05,0.194,-9.666,0.166,127.989,3,0.307
42,Woman Like Me,30,Adele,2021-11-19,300247,66,0.594,0.749,0.37,3.2e-05,0.132,-10.561,0.173,145.601,4,0.329
43,Hold On,30,Adele,2021-11-19,366004,68,0.366,0.858,0.364,1.15e-05,0.165,-7.814,0.0433,165.902,4,0.459
44,To Be Loved,30,Adele,2021-11-19,403961,70,0.356,0.843,0.176,0.0,0.231,-8.291,0.0391,170.425,1,0.289
45,Love Is A Game,30,Adele,2021-11-19,403044,67,0.269,0.453,0.591,0.000695,0.0702,-5.79,0.0416,183.793,4,0.228
46,Skyfall,Skyfall,Adele,2012-10-04,286480,75,0.346,0.417,0.552,0.0,0.114,-6.864,0.0282,75.881,4,0.0789
