,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Sand In My Boots,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,202133,59,0.403,0.59,0.537,0.0,0.112,-6.628,0.031,69.877,4,0.414
1,Wasted On You,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,178520,61,0.505,0.373,0.657,0.00107,0.126,-5.24,0.0318,196.0,3,0.252
2,Somebody's Problem,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,161773,60,0.658,0.657,0.538,0.0,0.123,-7.676,0.0289,136.967,4,0.62
3,More Surprised Than Me,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,157440,59,0.516,0.241,0.748,0.0,0.123,-6.049,0.0289,85.004,4,0.433
4,865,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,190680,61,0.532,0.723,0.584,0.0,0.101,-5.254,0.0248,88.003,4,0.367
5,Warning,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,156746,60,0.633,0.46,0.664,0.0,0.108,-5.037,0.0294,115.058,4,0.268
6,Neon Eyes,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,226146,57,0.576,0.0214,0.843,8.04e-05,0.157,-5.26,0.029,126.009,4,0.628
7,Outlaw (feat. Ben Burgess),Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,229746,58,0.505,0.572,0.63,0.0,0.121,-5.758,0.0274,85.036,4,0.247
8,Whiskey'd My Way,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,180786,58,0.443,0.603,0.518,0.00225,0.0984,-6.373,0.0266,185.764,3,0.323
9,Wonderin' Bout The Wind,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,182226,56,0.481,0.244,0.715,0.0,0.133,-5.626,0.0334,90.966,4,0.395
10,Your Bartender,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,185093,59,0.555,0.247,0.771,7.26e-05,0.149,-5.237,0.0282,139.971,4,0.442
11,Only Thing That's Gone (feat. Chris Stapleton),Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,196706,56,0.5,0.11,0.803,2.12e-05,0.296,-4.591,0.032,150.058,4,0.451
12,Cover Me Up,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,293706,57,0.549,0.232,0.44,7.37e-06,0.107,-8.192,0.0264,128.01,3,0.214
13,7 Summers,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,210506,57,0.466,0.417,0.786,6.1e-05,0.125,-5.13,0.0328,203.903,4,0.571
14,More Than My Hometown,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,216573,56,0.62,0.615,0.869,0.0,0.131,-5.479,0.0462,126.019,4,0.597
15,Still Goin Down,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,186293,56,0.58,0.49,0.752,0.0,0.277,-5.078,0.0267,148.108,4,0.72
16,"Rednecks, Red Letters, Red Dirt",Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,185133,54,0.554,0.16,0.752,1.4e-06,0.122,-4.286,0.0249,140.042,4,0.616
17,Dangerous,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,147893,60,0.635,0.216,0.772,0.0,0.285,-4.825,0.0279,119.017,4,0.948
18,Beer Don't,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,196080,54,0.59,0.0651,0.855,0.0,0.11,-4.562,0.0358,140.008,4,0.766
19,Blame It On Me,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,162666,57,0.63,0.541,0.836,0.0,0.312,-4.591,0.0438,92.98,4,0.818
20,Somethin' Country,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,172626,53,0.6,0.169,0.942,0.0,0.29,-4.441,0.0402,145.981,4,0.741
21,This Bar,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,185280,55,0.553,0.0921,0.884,0.00033,0.0463,-5.306,0.0771,110.074,4,0.248
22,Country A$$ Shit,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,186186,54,0.619,0.0192,0.927,0.0,0.138,-3.765,0.0346,137.975,4,0.928
23,Whatcha Think Of Country Now,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,182426,52,0.523,0.0215,0.966,0.0,0.322,-4.356,0.0355,145.016,4,0.884
24,Me On Whiskey,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,210373,55,0.57,0.431,0.657,0.0,0.0777,-4.571,0.0262,142.031,4,0.721
25,Need A Boat,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,185866,53,0.54,0.0998,0.896,0.0,0.267,-6.286,0.0333,160.034,4,0.963
26,Silverado For Sale,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,224920,56,0.591,0.165,0.778,0.0,0.115,-5.927,0.0292,137.956,4,0.386
27,Heartless - Wallen Album Mix,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,169613,54,0.61,0.662,0.641,0.0,0.17,-4.423,0.0289,111.001,4,0.494
28,Livin' The Dream,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,239120,55,0.621,0.581,0.753,0.00605,0.215,-5.904,0.0271,127.035,4,0.438
29,Quittin' Time,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,224546,54,0.418,0.461,0.628,1.99e-06,0.186,-8.493,0.0354,83.926,4,0.462
30,This Side Of A Dust Cloud - Bonus,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,199946,69,0.645,0.139,0.734,0.000833,0.159,-5.892,0.0266,133.989,4,0.797
31,Bandaid On A Bullet Hole - Bonus,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,234333,73,0.543,0.794,0.48,0.0,0.119,-6.745,0.0301,154.78,3,0.391
32,Sand In My Boots (The Dangerous Sessions) - Bonus,Dangerous: The Double Album (Bonus),Morgan Wallen,2021-01-29,196800,60,0.411,0.93,0.273,0.0,0.118,-8.878,0.0312,140.137,4,0.474
33,brutal,SOUR,Olivia Rodrigo,2021-05-21,143746,82,0.672,0.0311,0.526,1.37e-06,0.28,-6.446,0.0599,123.999,4,0.28
34,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,90,0.38,0.691,0.339,0.0,0.12,-7.885,0.0338,100.607,4,0.0849
35,drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,89,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4,0.137
36,"1 step forward, 3 steps back",SOUR,Olivia Rodrigo,2021-05-21,163586,80,0.473,0.941,0.203,0.0,0.126,-12.627,0.102,168.884,4,0.419
37,deja vu,SOUR,Olivia Rodrigo,2021-05-21,215506,88,0.442,0.584,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4,0.178
38,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,91,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,4,0.688
39,enough for you,SOUR,Olivia Rodrigo,2021-05-21,202826,80,0.638,0.753,0.259,0.0,0.219,-10.706,0.0898,88.485,4,0.269
40,happier,SOUR,Olivia Rodrigo,2021-05-21,175933,86,0.395,0.765,0.443,9.67e-06,0.0839,-9.72,0.133,168.924,3,0.338
41,"jealousy, jealousy",SOUR,Olivia Rodrigo,2021-05-21,173160,86,0.695,0.198,0.575,0.0,0.0614,-6.334,0.116,163.929,4,0.699
42,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,152666,86,0.369,0.866,0.272,0.0,0.147,-10.497,0.0364,172.929,4,0.218
43,hope ur ok,SOUR,Olivia Rodrigo,2021-05-21,209560,78,0.443,0.388,0.298,1e-05,0.103,-12.181,0.0644,77.253,4,0.172
