,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Fireworks,Thank Me Later,Drake,2010-01-01,313280,53,0.55,0.433,0.758,0.0,0.162,-6.472,0.347,89.368,4,0.53
1,Karaoke,Thank Me Later,Drake,2010-01-01,227960,48,0.758,0.00879,0.654,0.0258,0.0797,-7.097,0.116,151.008,4,0.949
2,The Resistance,Thank Me Later,Drake,2010-01-01,225360,52,0.547,0.822,0.741,0.0,0.117,-8.127,0.163,82.589,4,0.637
3,Over,Thank Me Later,Drake,2010-01-01,233560,69,0.35,0.0107,0.845,0.0,0.123,-5.614,0.2,99.643,5,0.45
4,Show Me A Good Time,Thank Me Later,Drake,2010-01-01,210360,54,0.667,0.0386,0.734,0.0,0.108,-6.064,0.119,128.318,4,0.704
5,Up All Night,Thank Me Later,Drake,2010-01-01,234333,67,0.606,0.00782,0.811,1.49e-05,0.349,-4.667,0.278,156.347,4,0.276
6,Fancy,Thank Me Later,Drake,2010-01-01,319386,65,0.53,0.332,0.884,1.98e-06,0.355,-5.581,0.457,87.194,4,0.28
7,Shut It Down,Thank Me Later,Drake,2010-01-01,419306,55,0.59,0.411,0.434,0.0,0.0979,-9.298,0.069,119.905,4,0.399
8,Unforgettable,Thank Me Later,Drake,2010-01-01,213813,53,0.546,0.103,0.87,0.0,0.111,-5.107,0.114,156.145,4,0.071
9,Light Up,Thank Me Later,Drake,2010-01-01,274146,50,0.472,0.0936,0.908,0.0,0.15,-5.991,0.45,172.924,4,0.198
10,Miss Me,Thank Me Later,Drake,2010-01-01,305520,60,0.426,0.0813,0.862,0.0,0.34,-5.979,0.597,100.3,5,0.332
11,Cece's Interlude,Thank Me Later,Drake,2010-01-01,154120,44,0.473,0.0549,0.603,6.25e-06,0.115,-6.875,0.0319,94.984,4,0.234
12,Find Your Love,Thank Me Later,Drake,2010-01-01,208946,66,0.627,0.0211,0.614,0.0,0.0286,-6.006,0.17,96.038,4,0.758
13,Thank Me Now,Thank Me Later,Drake,2010-01-01,328573,50,0.495,0.282,0.772,0.0,0.119,-4.851,0.425,71.295,4,0.748
14,Over My Dead Body,Take Care (Deluxe),Drake,2011-11-15,272573,62,0.489,0.759,0.57,2.1e-06,0.179,-10.291,0.306,185.516,4,0.584
15,Shot For Me,Take Care (Deluxe),Drake,2011-11-15,224720,66,0.566,0.0555,0.465,0.0,0.567,-11.714,0.235,143.015,4,0.177
16,Headlines,Take Care (Deluxe),Drake,2011-11-15,235986,77,0.636,0.365,0.566,0.000353,0.0917,-7.16,0.106,151.894,4,0.425
17,Crew Love,Take Care (Deluxe),Drake,2011-11-15,208813,70,0.418,0.227,0.546,0.0,0.229,-9.057,0.238,160.152,4,0.294
18,Take Care,Take Care (Deluxe),Drake,2011-11-15,277386,77,0.629,0.0267,0.515,1.22e-05,0.0888,-10.358,0.265,121.845,4,0.299
19,Marvins Room,Take Care (Deluxe),Drake,2011-11-15,347226,74,0.492,0.646,0.26,0.00178,0.0705,-17.341,0.0921,111.519,5,0.312
