,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Run Away With Me,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,251327,60,0.561,0.0168,0.7,5.43e-05,0.0592,-6.284,0.0491,119.015,4,0.298
1,Emotion,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,197351,49,0.753,0.0813,0.602,0.000903,0.0962,-5.187,0.0337,114.024,4,0.225
2,I Really Like You,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,204763,71,0.62,0.00564,0.805,9.15e-05,0.285,-5.538,0.0417,122.062,4,0.586
3,Gimmie Love,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,202232,46,0.689,0.123,0.774,0.0,0.157,-5.824,0.0608,109.551,4,0.525
4,All That,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,276650,45,0.574,0.126,0.447,6.84e-06,0.0631,-6.605,0.0284,80.009,4,0.462
5,Boy Problems,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,222291,46,0.709,0.013,0.894,0.000683,0.0719,-5.061,0.0405,112.045,4,0.823
6,Making The Most Of The Night,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,238500,44,0.558,0.00482,0.845,0.00392,0.148,-5.498,0.0774,112.896,4,0.536
7,Your Type,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,199720,54,0.651,0.00279,0.786,0.000622,0.0732,-5.971,0.0518,92.02,4,0.448
8,Let's Get Lost,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,193482,44,0.728,0.542,0.729,0.0253,0.234,-5.789,0.0511,109.99,4,0.739
9,LA Hallucinations,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,184611,42,0.719,0.00719,0.683,0.000139,0.0729,-5.506,0.0454,90.035,4,0.626
10,Warm Blood,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,253078,41,0.684,0.00832,0.67,0.0411,0.0901,-8.845,0.166,103.031,4,0.393
11,When I Needed You,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,221038,41,0.475,0.0659,0.873,0.0,0.355,-4.584,0.107,181.901,4,0.362
12,Black Heart,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,176719,38,0.817,0.0949,0.601,7.62e-05,0.105,-8.502,0.0873,111.96,4,0.889
13,I Didn't Just Come Here To Dance,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,219893,43,0.826,0.107,0.592,0.000325,0.212,-7.882,0.0379,122.027,4,0.573
14,Favourite Colour,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,209479,44,0.585,0.0813,0.637,3.07e-06,0.264,-6.249,0.0581,73.07,4,0.645
15,Never Get to Hold You - Bonus Track,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,253582,42,0.657,0.0517,0.673,0.00998,0.077,-6.977,0.0364,98.994,4,0.566
16,Love Again - Bonus Track,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,2015,215992,43,0.802,0.065,0.831,2.48e-05,0.0349,-4.808,0.0481,118.026,4,0.644
17,Tiny Little Bows,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,201560,31,0.77,0.0335,0.924,0.0,0.118,-4.85,0.058,119.975,4,0.876
18,This Kiss,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,228866,44,0.736,0.00711,0.88,0.00123,0.301,-4.323,0.0339,127.998,4,0.704
19,Call Me Maybe,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,193400,73,0.783,0.0114,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,4,0.66
20,Curiosity,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,213120,35,0.751,0.16,0.878,0.0,0.125,-5.176,0.0555,124.019,4,0.676
21,Good Time,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,205120,41,0.567,0.0195,0.863,8e-05,0.45,-4.916,0.111,126.012,4,0.675
22,More Than A Memory,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,242026,32,0.732,0.00594,0.857,0.00062,0.138,-4.096,0.0321,126.968,4,0.739
23,Turn Me Up,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,224120,35,0.654,0.0954,0.818,0.0,0.175,-5.512,0.0788,124.012,4,0.548
24,Hurt So Good,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,188840,33,0.697,0.025,0.886,0.00788,0.343,-4.09,0.0387,127.945,4,0.846
25,Beautiful,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,197986,34,0.682,0.447,0.496,0.0,0.142,-8.492,0.0343,103.942,4,0.423
26,Tonight I'm Getting Over You,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,219213,46,0.72,0.00549,0.776,0.000298,0.365,-5.331,0.043,125.96,4,0.135
27,Guitar String / Wedding Ring,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,206746,28,0.685,0.00881,0.782,0.000957,0.854,-4.355,0.0519,123.954,4,0.73
28,Your Heart Is A Muscle,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,229626,26,0.535,0.172,0.693,2.44e-05,0.135,-6.981,0.0465,171.97,4,0.328
29,Drive,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,179106,29,0.802,0.014,0.696,0.0163,0.127,-5.309,0.0412,122.998,4,0.728
30,Wrong Feels So Right,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,257613,27,0.657,0.0141,0.639,4.64e-05,0.329,-7.04,0.0502,129.878,4,0.377
31,Sweetie,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,218266,35,0.72,0.0113,0.736,0.0127,0.0573,-5.274,0.025,125.995,4,0.695
32,Julien,Dedicated,Carly Rae Jepsen,2019-05-17,234520,48,0.754,0.326,0.506,0.0,0.0716,-5.392,0.0929,118.99,4,0.587
33,No Drug Like Me,Dedicated,Carly Rae Jepsen,2019-05-17,208240,45,0.784,0.524,0.62,1.09e-06,0.1,-7.294,0.0725,134.039,4,0.742
34,Now That I Found You,Dedicated,Carly Rae Jepsen,2019-05-17,200320,50,0.63,0.0154,0.759,0.0,0.0851,-5.148,0.0475,124.24,4,0.597
35,Want You In My Room,Dedicated,Carly Rae Jepsen,2019-05-17,166293,52,0.669,0.00883,0.812,0.000513,0.0937,-5.865,0.0942,96.917,4,0.328
36,Everything He Needs,Dedicated,Carly Rae Jepsen,2019-05-17,218893,47,0.753,0.471,0.569,3.37e-06,0.304,-6.027,0.0634,90.994,3,0.752
37,Happy Not Knowing,Dedicated,Carly Rae Jepsen,2019-05-17,161066,44,0.787,0.0743,0.503,1.5e-05,0.287,-5.23,0.0606,100.05,4,0.659
38,I'll Be Your Girl,Dedicated,Carly Rae Jepsen,2019-05-17,178706,42,0.671,0.00794,0.659,0.000369,0.122,-5.533,0.0404,152.016,3,0.742
39,Too Much,Dedicated,Carly Rae Jepsen,2019-05-17,197093,53,0.733,0.0603,0.522,0.0,0.097,-6.853,0.0593,179.837,4,0.729
40,The Sound,Dedicated,Carly Rae Jepsen,2019-05-17,171160,41,0.632,0.636,0.57,0.000347,0.0815,-7.341,0.0944,80.636,4,0.612
41,Automatically In Love,Dedicated,Carly Rae Jepsen,2019-05-17,213280,42,0.671,0.0296,0.646,0.0,0.061,-7.164,0.0816,155.981,4,0.633
42,Feels Right,Dedicated,Carly Rae Jepsen,2019-05-17,163133,43,0.686,0.114,0.716,0.0,0.0863,-4.184,0.107,95.84,4,0.798
43,Right Words Wrong Time,Dedicated,Carly Rae Jepsen,2019-05-17,200840,39,0.822,0.608,0.628,0.00326,0.0974,-7.376,0.034,114.97,4,0.836
44,Real Love,Dedicated,Carly Rae Jepsen,2019-05-17,234920,40,0.603,0.231,0.603,0.0,0.136,-6.458,0.0455,119.838,4,0.233
45,For Sure,Dedicated,Carly Rae Jepsen,2019-05-17,184906,38,0.445,0.0878,0.758,0.0523,0.0885,-8.74,0.235,159.849,3,0.547
46,Party For One,Dedicated,Carly Rae Jepsen,2019-05-17,184533,53,0.699,0.0453,0.633,0.0,0.101,-6.547,0.0362,123.449,4,0.458
47,This Love Isn't Crazy,Dedicated Side B,Carly Rae Jepsen,2020-05-21,233373,48,0.632,0.00308,0.728,0.0,0.278,-5.759,0.0604,117.981,4,0.252
48,Window,Dedicated Side B,Carly Rae Jepsen,2020-05-21,198440,37,0.848,0.0528,0.463,1.95e-05,0.0551,-5.687,0.202,91.457,4,0.662
49,Felt This Way,Dedicated Side B,Carly Rae Jepsen,2020-05-21,217106,41,0.83,0.448,0.576,9.33e-05,0.102,-7.332,0.151,152.096,4,0.898
50,Stay Away,Dedicated Side B,Carly Rae Jepsen,2020-05-21,217306,42,0.819,0.0489,0.721,1.52e-06,0.283,-4.403,0.169,126.076,4,0.711
51,This Is What They Say,Dedicated Side B,Carly Rae Jepsen,2020-05-21,214466,37,0.834,0.0516,0.679,0.0,0.0244,-4.845,0.0685,113.019,4,0.801
52,Heartbeat,Dedicated Side B,Carly Rae Jepsen,2020-05-21,252653,36,0.641,0.679,0.52,1.02e-05,0.119,-7.742,0.0565,132.039,4,0.567
53,Summer Love,Dedicated Side B,Carly Rae Jepsen,2020-05-21,195986,44,0.703,0.00717,0.74,8.87e-06,0.131,-5.266,0.0336,120.026,4,0.701
54,Fake Mona Lisa,Dedicated Side B,Carly Rae Jepsen,2020-05-21,132146,39,0.872,0.0831,0.574,3.25e-05,0.0733,-5.897,0.0394,113.992,4,0.687
55,Let's Sort The Whole Thing Out,Dedicated Side B,Carly Rae Jepsen,2020-05-21,233813,38,0.701,0.000343,0.908,0.000682,0.0607,-3.54,0.0942,154.94,4,0.545
56,Comeback,Dedicated Side B,Carly Rae Jepsen,2020-05-21,223986,50,0.589,0.202,0.716,3.4e-05,0.0711,-7.944,0.0563,89.969,4,0.408
57,Solo,Dedicated Side B,Carly Rae Jepsen,2020-05-21,196173,38,0.755,0.0545,0.662,0.000256,0.121,-5.579,0.0635,109.937,4,0.607
58,Now I Don't Hate California After All,Dedicated Side B,Carly Rae Jepsen,2020-05-21,293293,38,0.675,0.193,0.761,0.165,0.114,-7.89,0.0362,98.011,4,0.721
59,Bucket,Tug Of War,Carly Rae Jepsen,2008-09-30,171760,33,0.778,0.15,0.632,0.0,0.277,-9.375,0.039,98.001,4,0.766
60,Tug Of War,Tug Of War,Carly Rae Jepsen,2008-09-30,224786,38,0.723,0.192,0.663,2.01e-05,0.0571,-8.484,0.0673,111.949,4,0.537
61,Money and The Ego,Tug Of War,Carly Rae Jepsen,2008-09-30,190213,31,0.622,0.519,0.394,0.000279,0.122,-6.884,0.0276,81.978,4,0.464
62,Tell Me,Tug Of War,Carly Rae Jepsen,2008-09-30,140480,24,0.586,0.798,0.252,0.0,0.0596,-11.178,0.0494,106.036,4,0.509
63,Heavy Lifting,Tug Of War,Carly Rae Jepsen,2008-09-30,221973,23,0.661,0.605,0.39,0.0,0.0845,-8.946,0.0365,139.895,4,0.376
64,Sunshine On My Shoulders,Tug Of War,Carly Rae Jepsen,2008-09-30,215173,36,0.705,0.169,0.609,4.33e-05,0.0879,-7.542,0.025,91.001,4,0.601
65,Worldly Matters,Tug Of War,Carly Rae Jepsen,2008-09-30,201746,23,0.692,0.629,0.554,0.0187,0.101,-10.616,0.0376,152.014,4,0.452
66,Sweet Talker,Tug Of War,Carly Rae Jepsen,2008-09-30,176880,22,0.686,0.51,0.377,0.0,0.244,-9.751,0.0679,118.509,4,0.352
