,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Rolling in the Deep,21,Adele,2011-01-24,228093,79,0.73,0.138,0.769,0.0,0.0473,-5.114,0.0298,104.948,4,0.507
1,Rumour Has It,21,Adele,2011-01-24,223266,67,0.612,0.615,0.749,0.0,0.167,-5.014,0.0446,120.052,4,0.574
2,Turning Tables,21,Adele,2011-01-24,250000,65,0.353,0.95,0.446,1.35e-05,0.132,-6.044,0.0285,155.476,4,0.211
3,Don't You Remember,21,Adele,2011-01-24,243200,65,0.644,0.214,0.4,0.0,0.0866,-5.713,0.0304,115.025,4,0.227
4,Set Fire to the Rain,21,Adele,2011-01-24,242973,77,0.603,0.00408,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,4,0.446
5,He Won't Go,21,Adele,2011-01-24,278040,55,0.706,0.0225,0.57,0.0,0.0754,-7.045,0.086,159.908,4,0.728
6,Take It All,21,Adele,2011-01-24,228293,55,0.415,0.957,0.266,1.18e-06,0.183,-8.44,0.0308,138.096,4,0.282
7,I'll Be Waiting,21,Adele,2011-01-24,241351,52,0.547,0.049,0.848,0.0,0.114,-2.684,0.0367,160.063,4,0.749
8,One And Only,21,Adele,2011-01-24,348226,66,0.528,0.295,0.468,0.0,0.165,-5.306,0.0287,154.974,3,0.185
9,Lovesong,21,Adele,2011-01-24,316240,57,0.689,0.693,0.369,0.00236,0.111,-9.407,0.0278,116.885,4,0.361
10,Someone Like You,21,Adele,2011-01-24,285240,79,0.556,0.893,0.319,0.0,0.0996,-8.251,0.0281,135.187,4,0.294
11,Prelude / The Sound Of Music - Medley,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,166693,48,0.243,0.857,0.21,0.0,0.358,-15.848,0.0395,94.998,4,0.149
12,Overture / Preludium (Dixit Dominus) - Medley,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,195666,42,0.218,0.847,0.201,0.873,0.334,-14.701,0.0371,88.83,4,0.13
13,Morning Hymn / Alleluia - Medley,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,124506,40,0.165,0.989,0.0647,0.000579,0.0924,-22.232,0.0523,87.131,3,0.0426
14,Maria,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,199333,48,0.472,0.888,0.226,0.0,0.196,-13.593,0.204,67.056,4,0.618
15,I Have Confidence,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,208933,47,0.439,0.821,0.234,0.0,0.318,-13.872,0.0864,75.45,4,0.411
16,Sixteen Going On Seventeen,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,200000,51,0.488,0.895,0.133,0.0,0.0595,-15.865,0.0362,128.123,4,0.289
17,My Favorite Things,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,140893,57,0.622,0.87,0.247,0.0,0.14,-12.472,0.0758,114.417,4,0.627
18,Do-Re-Mi,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,335173,47,0.512,0.844,0.216,0.0,0.32,-12.152,0.0627,127.633,4,0.503
19,The Sound Of Music,The Sound Of Music (Original Soundtrack Recording),Rodgers & Hammerstein,1965-01-01,133026,50,0.272,0.963,0.0505,8.53e-05,0.0949,-21.689,0.0371,88.203,4,0.155
